"shopId","shopName"
6164959,Hobbyfit &amp; Beyond
6182605,kolomongso
6191923,Mega Bike Jabar
6200768,CV Suro Importir
6209296,Lestari grosir shop
6228567,MultyTools
6229889,Vinz Tech
6234089,gwpunyatoko.id
6242855,Rubra Store
6249750,erizababyshop
6255768,jizzyy store
6259119,PastiMureh_com
6261182,hamzu
6265189,ElinYu Store
6265346,Sepatu Yuli
6265623,DWINA EXCLUSIVE MALL
6268678,Assiiaapp Store
6308138,TITAN GEL TITAN GEL GOLD
6315032,SSMEDSHOP
6323621,IM Green
6324819,jjj lovers
6343389,EFEFDESIGN
6347506,Oll import90
6358271,shintiaolshop
6379603,Muhfadipa
6385502,KinKay Store
6418150,kurtuku89
6421637,Apotek farma medika
6426593,Cussons Official Store
6428470,Apotek Palapa Tangerang
6433637,aleciastore23
6440982,vionadamara
6447679,Eren&#39;s General Goods
6488835,rumah-fashion
6494818,PangLayShop
6496689,RumahaccHP
6499138,ilovecoklat
6520377,Harmoni store Dn
6526539,indoshare_id
6544362,Ananta Shop 88
6545639,Alfreda CO ID
6548752,Risank Store
6552274,BEST IMPORTIR
6553442,"168 Mall"
6570363,gosyu
6580344,canti_home
6580744,afika_sh
6591784,Zanna Acc
6592542,PUTRA1 STORE
6596421,ASAROBAIK.ID
6599421,Build a Bike Online
6605811,KENTINE BERKAH
6612723,HANEUTAN
6613186,Anco Wulandari
6616423,babystar mk
6616425,CV KOPI GOLD JALAN
6623273,ASTUNGKARA TOKO17
6623300,Valentina Choco
6623957,Larisss 888
6624024,Vivi Yam Steis
6624029,Wardah Gae
6628688,pinpon allshop
6632773,GIBRETA GLOBAL SUPPLIER
6635299,lizavave
6638475,mulia 09 shop
6638851,Bobs Stars
6664050,ipunggantengtronika
6678211,SEDULUR 88
6682602,Caleida Shop
6689840,Cacha Official
6697939,Bestimportchina
6704029,warmus karomah
6705481,esther swesh
6706417,isabeau
6706455,coralee budiman
6706482,ceneria ceria
6708152,judith home
6712898,GHAISAN ONLINESHOP
6713089,Liseta Official
6713245,seraphine kubro
6713326,BarcodeMarket
6713614,malisande
6715093,mathilda foam
6725594,nan hoam
6725600,natalie-ass
6725698,sebillena
6725713,talle santia
6725851,pristio
6725862,rachaele
6728224,rindadayen
6728226,samengodd
6729059,Medicalogy Yogya
6744921,MADU RUQYAH GN TIGABELAS
6750495,Apotek Sumber Sehat
6753635,HIDUP JAYA SPORT
6786684,eido hoam
6788315,Serbagelap
6791037,elenitsa home
6792434,eusebia-sdm
6793738,fidonia
6798846,gianna foam
6804723,rumahaksara
6808408,hazkia sh
6819512,BaliBersepeda com
6833561,kae-y
6833764,jelinda
6837335,Rose5tore
6843190,BEBIBURP
6848247,Apotek Mose Sawah Baru
6850105,MEDIZONE
6861500,home fashion1
6877269,TREND SHOP 99
6888570,melly-tre
6889266,iNt Gallery
6890099,Gessaf Olshop
6901672,Selecta Storee
6904554,pokemon air2
6904559,toko majiu
6911759,Rockbros Bike
6920459,AG Aksesoris Handphone
6931301,SR12 STORE ID
6940149,HOT MARKET OFFICIAL
6948027,SMS STORE 1
6948044,rara ratna store
6948053,IMELDA JAYA SHOP
6949041,Nivaro Store
6953286,Montir Andalan
6953571,BELLA_storre
6953576,HANA GO SHOP
6953588,J U N_shop
6953651,KOHINNOR
6953655,G E A _ store
6954172,K.R_STORE 09
6963286,DESTRO VIP
6965329,BIGBOSS VIP
6965699,RARA VIP
6965709,RUMAH KITA IMPORT
6965712,GOSTARS VIP
6966142,FARZANNA VIP
6974112,NDANG MAMPIR
6983344,Global Herbal Indonesia
6984757,ZYK Store
6988527,Toko Idamanmu
6995363,fayakunshop
6995419,one shop only
6995702,SIMPLE STORE19
6998677,Faisal Toserba
7017032,SUMBER REJEKI TINA
7017974,Octomart_
7021519,Zenta_Store
7022869,TERNAMA STORE
7023090,KASIH INDAH SHOP
7031173,sinta mark
7040019,Mugi Mampir
7040546,TokoAndikaYK
7041229,jalilrecing
7066311,Online Shoppers
7072664,OkMall
7079975,mie tektek
7083068,Fixbeli
7083506,De Bakulan
7091868,GAZHA SHOP
7103954,Sinar Makmur Kreasi
7104168,VICTORIUS007
7105362,CV. Sinar Indah
7105403,Saskia M
7114543,MixShop88
7130904,P.D cahaya alam
7137733,Golden Victor
7148442,JRSUKSES
7148843,DIGOO STORE
7150925,PROMAXSTORE
7151095,JAYA BINTANG ABADI
7155835,Ozon Bike
7161141,Miwa Toi
7165152,rosenoona
7167283,Dhamira
7173374,TB MUMTAZ
7182402,Unix Sale Bike Shop
7214567,SC_Collectionn
7227192,X Super Store
7242028,Sido Mampiro
7245481,risca4shop
7246547,funireindonesia
7259743,VIRAL KAN
7261628,CV Mucika Importindo
7264018,Ironamono
7265049,TwentyFive ID
7267342,HuiranSHOP
7272572,Tentant Store
7281051,MataharisOriginal
7294611,Apotek Tower Farma
7316930,HappieBike
7320089,Pinky Galerye
7326347,BossMen
7347520,FATIMATULK 3 SALE
7355760,pelangi_14
7368624,"74 SPORT ID"
7371514,CossidoStore
7378111,Five online
7389448,Ramenemen Official
7389463,Djoko Susillo
7424887,TRUSTED OFFICIAL STORE
7425680,WinningSport
7426784,Milanisti507
7437996,arisyastore258
7443489,Rumah Khadija
7450783,Ollaofficial
7463076,QUEEN SHOPI
7464750,PUTRA MANIS
7467990,KedaiMart Official Store
7483226,Trisna24
7486031,ps selok
7491876,Day Corner
7496459,Sandi Shopmart
7496663,Glemboh
7497366,Mata Elang Store
7499831,dMarkas store
7499906,JALAKA
7500147,Soyosa
7511476,Gemar Sports
7521228,hello say
7524251,Bebefast Cosmetic
7524305,Gudangteknologi_id
7532621,kurakuralimpol
7539519,toKO-KOmurah
7546882,Toko sembako Gaol
7551232,Xis10
7607090,Arjuna-Mart
7607145,Namiremart
7621015,Jayabike01
7623588,LUCKY SEVEN.
7626221,JANOKO ONLINESHOP
7639609,SUPER MELON 2
7650654,Jayaolshop99
7651192,HARUKAKISTORE
7651593,DJOKERR
7651982,Great_Tomorrow
7675451,MY QUEEN1
7687348,SUKCESO
7704440,DTRKNNK Store
7705551,CuztomizitID
7719476,MAINTAN
7729013,Ravamo Store
7731998,cherilbaby
7740770,Toko Rennita
7755461,HM Hardware
7757325,vinadual
7795080,SIREGAR_
7814008,HENDIKA SHOP21
7829680,braja global
7830468,muncul indo
7836952,RUMAH CANTIK 264
7859371,Lariso 66
7863150,Dapur Ekspresss Mak Kinan
7876366,XPDC BRAND
7876915,DAPURWANGI
7880307,HariHariKaryaBersama
7892227,Wuling Toserba
7902830,FarmasiOnline
7910402,mamannn_store
7932470,Al-Fazza Busana
7936983,indo motor baru
7939725,SELY57
7943369,Dailymask Beauty
7944462,senoritaa
7946861,StylinGoods
7948937,Topera
7956080,Aulia Stor
7956274,Aquarius8
7959067,Chipscomp
7959680,Rihana77
7960127,Xoxomarket
7961975,Shara1
7965491,Kian Aksesoris
7976732,POWER FASHION
7978247,Yola Storage
7978328,Der Mond Store
7979337,mommy delynn
7997831,naturallimits
8001923,adamjaya_
8014118,LK Laris
8014903,NEMU ALL SHOP
8022853,Avatar Toserba
8027932,BETAWIASING
8036911,haribawa_store
8037757,Laris manis21
8040079,SRI REJEKI69
8059247,CiketakJayaGrosir
8064111,SURAISE76
8064462,Pilgoods
8075553,BAKERO STORE
8093039,KINGJOUR
8104308,gabriel_17
8119516,Izzaty Baby Shop
8134419,YUES SHOP
8148138,Apotik GL Care
8157830,PINKPOSEY
8161382,ISLAND VINE
8181558,MORTOP_STORE
8189208,sijang
8203262,moja_clothing
8203995,TokoBejoBKD
8206625,septha_store
8212649,Murah Sekali Shop
8213248,selawshop
8214516,basangan296
8216463,wirosablengBKS
8220134,Bintang19Store
8222383,Happy3266
8224075,Muawanah online
8224768,BAROKAH URIP
8228366,ditoto_shp
8239776,Haciroku_Store
8246177,rifalshoes
8253767,cantiksehatskincare
8282229,chekpoint one
8286580,Richie Best
8291074,"19Market"
8303049,titi133
8307533,O&amp;#39;Toko Online
8334204,Bikers OfficialStore
8335482,TokoSiKhokho
8350068,HIKMAH_JAVA_STORE
8354775,ORIGINAL STORE OFFICIAL
8378869,cenaoqueen
8388053,Wingunstore
8395855,Arfa_Sstore
8402139,@Anavrin
8405275,E-PAYMENT.ID
8414784,Nugraha_Official
8418894,PT AOMA Prima Medika
8427618,D&amp;A Mart
8428093,Karya Agung Sulawesi
8431914,KING JIM SHOP OFFICIAL
8438637,Oktavia Store34
8440763,Warga2+62
8441408,rujito_toko
8441474,dwisaputra_toko
8441508,gungaji_12
8451051,sambaladoDSTORE
8460314,prapto_mulyono
8461624,ENJJOY Store
8461748,AigooStore21
8488819,UD Krisna Abadi
8494350,mart sindi
8497384,viangb
8515628,beesmartofficial
8516012,Seravee
8516788,NATHAN SHO
8523552,REJEKI LANCAR69
8523675,Mugo Mugo
8524216,Jupiter69 Shop
8526891,JONATAHAN
8536052,SOBOLANGIT
8543011,Kunam Balap
8549209,ZiloongStore
8553726,ladang atk
8556191,Altra Wing
8556251,Marshall Altra
8556261,Altra Land
8558049,Fourcart
8569543,Lariinyuk
8588295,Rain Brain
8590679,LA Daily Outfit
8593581,TOP CER STORE
8602098,BAGUS MURAH TEKNIK
8602659,Flowersmoon
8607300,julies jaya
8609105,Roment
8609227,Rivalmen
8609424,qoricolection
8612422,Honeybee Dera
8613208,Rey Medical
8618884,Rivador
8619785,Langsaa
