"skuId","shopId","productName","discountedPrice","originalPrice","rating","soldCount","createdAt"
846805880,316578,CLORIS Hand Sanitizer Gel 500ml antiseptic Pembersih Bakteri Tangan,98500.0,0.0,0.0,0,"2022-01-24 08:37:21.131 +00:00"
850372275,695667,Sarung Tangan Gel Setengah Jari Anti Licin Untuk sepeda motor,53500.0,0.0,0.0,81,"2022-01-24 08:37:19.413 +00:00"
850526303,8027932,NUVO Hand Sanitizer Pembersih Tangan Instan Gel 85 ml,10900.0,0.0,0.0,9,"2022-01-24 08:37:19.588 +00:00"
851061118,6526539,Pulpen gel Bentuk Tangan,11900.0,18000.0,0.0,8,"2022-01-24 08:37:19.588 +00:00"
851341983,5758559,Garnier Pure Active Hand Cleansing Gel 125 ml Twin Pack,85000.0,0.0,0.0,255,"2022-01-24 08:37:19.588 +00:00"
854435563,8174415,Multifungsi Selempan Backpack Tas wanita ransel bisaTote tangan tas ba,129200.0,0.0,0.0,0,"2022-01-24 08:42:14.619 +00:00"
854586593,8560617,Tas Tangan/Ransel Kulit PU Casual Kapasitas Besar dengan,392600.0,0.0,0.0,0,"2022-01-24 08:42:14.877 +00:00"
854666341,8372968,Tas Tangan/Ransel Kulit PU Casual Kapasitas Besar dengan,391500.0,0.0,0.0,0,"2022-01-24 08:42:12.812 +00:00"
855885666,8557646,Ransel tote tangan bahu bisa dilipat untuk travel pantai belanja,126200.0,0.0,0.0,0,"2022-01-24 08:42:14.877 +00:00"
856405190,8203995,Antis Pembersih Tangan Gel,15000.0,0.0,0.0,0,"2022-01-24 08:37:21.131 +00:00"
857288074,204368,Mouse pad dengan gel bantalan tangan MP24,18000.0,0.0,0.0,8,"2022-01-24 08:37:19.413 +00:00"
857995223,8461624,Sarung Tangan Gel Setengah Jari Ukuran XL untuk Sepeda / Motor /,133500.0,0.0,0.0,0,"2022-01-24 08:37:23.829 +00:00"
858069901,8461624,(ww) Sarung Tangan Gel Half Finger Ukuran XL untuk Sepeda / Motor,128000.0,0.0,0.0,0,"2022-01-24 08:37:21.131 +00:00"
858231573,8461624,Tas Ransel Bahan Kain Oxford dengan Tangan Kecil untuk Travel,251400.0,0.0,0.0,0,"2022-01-24 08:42:12.081 +00:00"
858298865,8461624,Gel 10Pcs Klip Jepit Jari Tangan untuk Membersihkan Kutek,93200.0,0.0,0.0,0,"2022-01-24 08:37:21.131 +00:00"
858425563,8461624,Alat Kesehatan: Sarung Ibu Jari & Pergelangan Tangan Isi Gel untuk,122800.0,0.0,0.0,0,"2022-01-24 08:37:20.714 +00:00"
858636810,8461624,Tas Tangan/Ransel Kulit PU Casual Kapasitas Besar dengan,391500.0,0.0,0.0,0,"2022-01-24 08:42:12.321 +00:00"
858759017,8461624,Sarung Tangan Teether Bahan Gel Lembut untuk Bayi,125100.0,0.0,0.0,0,"2022-01-24 08:37:23.654 +00:00"
858880015,8461624,"Tas tangan, Tas pria, Tas bahu, Tas pria utusan, Tas kanvas, Ransel",811900.0,0.0,0.0,0,"2022-01-24 08:42:12.337 +00:00"
859052529,8222383,ONEMED Aseptic Gel Antiseptik Pembersih Tangan PUMP - 500ML KEMENKESRI,55000.0,0.0,0.0,33,"2022-01-24 08:37:20.200 +00:00"
859212043,8161382,?? Bantalan Gel Pergelangan Tangan Warna Hitam untuk Keyboard PC,129100.0,0.0,0.0,0,"2022-01-24 08:37:23.829 +00:00"
859305984,8161382,Cairan Pembersih Tangan Portabel Dengan Gel Cepat Isi 30ml,131400.0,0.0,0.0,0,"2022-01-24 08:37:23.245 +00:00"
859651669,8607300,"S & x Gel Sanitizer Tangan Anti Bakteri, Isi 60ml",106500.0,0.0,0.0,0,"2022-01-24 08:37:25.562 +00:00"
859685947,8607300,/ MTB Sarung Tangan Gel Setengah Jari Ukuran M / L / XL untuk,216700.0,0.0,0.0,0,"2022-01-24 08:37:24.326 +00:00"
859718695,8607300,(MS) Sarung Tangan Setengah Jari Bahan Gel untuk Sepeda / Motor,109300.0,0.0,0.0,0,"2022-01-24 08:37:25.376 +00:00"
859733367,8607300,Warna (MS) Sarung Tangan Setengah Jari Bahan Gel untuk Sepeda /,109300.0,0.0,0.0,0,"2022-01-24 08:37:25.376 +00:00"
859793030,8607300,/ PC Bantalan Pergelangan Tangan Dan Mouse Bahan Gel Silika untuk,114500.0,0.0,0.0,0,"2022-01-24 08:37:25.376 +00:00"
859817427,8607300,Bantalan Pergelangan Tangan Dan Mouse Bahan Gel Silika untuk Laptop,114500.0,0.0,0.0,0,"2022-01-24 08:37:25.376 +00:00"
859943291,8607300,tahan aus 1.5 m pola keterikatan ekstra lebar keel gel tangan raket,65700.0,0.0,0.0,0,"2022-01-24 08:37:24.967 +00:00"
859944642,8607300,pita 1.1mBaru pencetakan keel gel tangan Keringat wicking bahan PU,61900.0,0.0,0.0,0,"2022-01-24 08:37:21.131 +00:00"
859946050,8607300,lebar non-slip 1.5m panjang keel tangan gel raket pembungkus pita,68100.0,0.0,0.0,0,"2022-01-24 08:37:21.131 +00:00"
859950240,8607300,bertepuk tangan GuangYu pita pembungkus panjang 1.2m punch gel,91300.0,0.0,0.0,0,"2022-01-24 08:37:21.131 +00:00"
859953444,8607300,aus 1.5 m pola keterikatan ekstra lebar keel gel tangan raket,65700.0,0.0,0.0,0,"2022-01-24 08:37:23.829 +00:00"
859953563,8607300,Baru Kamuflase keel gel tangan Grip non-slip sweatband Kentalkan,60600.0,0.0,0.0,0,"2022-01-24 08:37:25.376 +00:00"
859954610,8607300,"1.1mBaru pencetakan keel gel tangan Keringat wicking pita bahan PU",61900.0,0.0,0.0,0,"2022-01-24 08:37:21.131 +00:00"
859955512,8607300,non-slip 1.5m panjang keel tangan gel raket pembungkus pita tahan,68100.0,0.0,0.0,0,"2022-01-24 08:37:25.562 +00:00"
859958537,8607300,Grosir 10 pieces Grip Berliku sabuk Badminton tangan gel Datar,180100.0,0.0,0.0,0,"2022-01-24 08:37:21.131 +00:00"
859959969,8607300,tangan GuangYu pita pembungkus panjang 1.2m punch gel keringat,91300.0,0.0,0.0,0,"2022-01-24 08:37:21.131 +00:00"
859961372,8607300,"1.5 m pola keterikatan ekstra lebar keel gel tangan raket pancing",65700.0,0.0,0.0,0,"2022-01-24 08:37:21.131 +00:00"
859961557,8607300,kulit sling Baru Kamuflase keel gel tangan Grip non-slip sweatband,60600.0,0.0,0.0,0,"2022-01-24 08:37:25.562 +00:00"
